index,Customer ID,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_Segment,Segment
39,12402.0,28,5,1031.3,4,4,4,44,Loyal Customers
40,12403.0,157,1,591.6600000000001,2,1,3,21,Need Attention
41,12404.0,318,1,63.24,1,1,1,11,Inactive
42,12406.0,35,3,2975.06,4,3,5,43,Potential Loyal Customers
43,12408.0,21,3,1452.22,4,3,4,43,Potential Loyal Customers
44,12409.0,56,4,12346.619999999999,3,4,5,34,Loyal Customers
45,12410.0,138,1,320.38,2,1,2,21,Need Attention
46,12411.0,45,1,346.9,3,1,2,31,Need Attention
47,12412.0,38,3,1370.05,3,3,4,33,Need Attention
48,12413.0,38,1,241.35,3,1,1,31,Need Attention
49,12414.0,99,3,390.0,2,3,2,23,Need Attention
50,12415.0,11,7,19543.84,5,5,5,55,Most Valuable Customers
51,12416.0,292,1,202.56,1,1,1,11,Inactive
52,12417.0,46,11,3167.81,3,5,5,35,Loyal Customers
53,12418.0,49,3,1352.62,3,3,4,33,Need Attention
54,12419.0,21,2,503.01,4,2,2,42,Potential Loyal Customers
55,12421.0,51,2,291.56,3,2,2,32,Need Attention
56,12422.0,30,14,4428.24,4,5,5,45,Loyal Customers
57,12423.0,23,2,763.08,4,2,3,42,Potential Loyal Customers
58,12424.0,58,2,1579.07,3,2,4,32,Need Attention
59,12425.0,84,1,964.21,2,1,3,21,Need Attention
60,12426.0,298,1,762.48,1,1,3,11,Inactive
61,12427.0,7,1,303.5,5,1,2,51,New Customers
62,12429.0,1,5,3735.51,5,4,5,54,Most Valuable Customers
63,12431.0,9,13,4370.52,5,5,5,55,Most Valuable Customers
64,12433.0,2,5,7205.39,5,4,5,54,Most Valuable Customers
65,12434.0,17,1,297.29,4,1,2,41,Promising Customers
66,12435.0,32,4,6096.04,4,4,5,44,Loyal Customers
67,12437.0,31,21,7731.99,4,5,5,45,Loyal Customers
68,12439.0,318,2,1158.18,1,2,4,12,Inactive
69,12440.0,98,2,859.2,2,2,3,22,Need Attention
70,12441.0,2,1,173.55,5,1,1,51,New Customers
71,12443.0,368,1,485.31,1,1,2,11,Inactive
72,12445.0,56,1,301.58000000000004,3,1,2,31,Need Attention
73,12449.0,46,2,768.6,3,2,3,32,Need Attention
74,12450.0,35,3,490.32,4,3,2,43,Potential Loyal Customers
75,12451.0,99,3,3634.36,2,3,5,23,Need Attention
76,12454.0,31,4,13151.44,4,4,5,44,Loyal Customers
77,12455.0,81,4,3413.09,2,4,5,24,At Risk
78,12457.0,71,1,632.68,3,1,3,31,Need Attention
79,12458.0,63,2,830.09,3,2,3,32,Need Attention
80,12459.0,241,1,454.36,1,1,2,11,Inactive
81,12460.0,92,1,326.65,2,1,2,21,Need Attention
82,12466.0,318,1,56.73,1,1,1,11,Inactive
83,12467.0,59,1,132.8,3,1,1,31,Need Attention
84,12468.0,162,3,2941.2,2,3,5,23,Need Attention
85,12469.0,158,2,3070.54,2,2,5,22,Need Attention
86,12470.0,325,1,211.95,1,1,1,11,Inactive
87,12471.0,10,49,20139.739999999998,5,5,5,55,Most Valuable Customers
88,12472.0,5,13,11308.48,5,5,5,55,Most Valuable Customers
89,12474.0,14,13,5048.66,5,5,5,55,Most Valuable Customers
90,12475.0,45,1,426.26,3,1,2,31,Need Attention
91,12476.0,32,12,7298.99,4,5,5,45,Loyal Customers
92,12477.0,35,3,7056.63,4,3,5,43,Potential Loyal Customers
93,12480.0,35,3,2183.2200000000003,4,3,5,43,Potential Loyal Customers
94,12481.0,1,6,6765.07,5,4,5,54,Most Valuable Customers
95,12482.0,212,29,23691.4,1,5,5,15,At Risk
96,12483.0,14,11,2635.6,5,5,5,55,Most Valuable Customers
97,12484.0,119,6,1828.43,2,4,4,24,At Risk
98,12485.0,165,1,708.1,2,1,3,21,Need Attention
99,12486.0,67,1,1037.28,3,1,4,31,Need Attention
100,12487.0,366,1,285.29999999999995,1,1,2,11,Inactive
101,12490.0,14,11,4405.71,5,5,5,55,Most Valuable Customers
102,12492.0,39,1,452.0,3,1,2,31,Need Attention
103,12494.0,1,3,626.77,5,3,3,53,Potential Loyal Customers
104,12495.0,276,1,357.4,1,1,2,11,Inactive
105,12496.0,256,2,54.09,1,2,1,12,Inactive
106,12497.0,36,2,5205.400000000001,4,2,5,42,Potential Loyal Customers
107,12499.0,196,1,393.72,1,1,2,11,Inactive
108,12500.0,71,8,1697.39,3,5,4,35,Loyal Customers
109,12503.0,220,1,1126.0,1,1,4,11,Inactive
110,12504.0,53,2,297.0,3,2,2,32,Need Attention
111,12505.0,44,1,955.2,3,1,3,31,Need Attention
112,12507.0,220,1,539.25,1,1,3,11,Inactive
113,12510.0,95,7,4195.45,2,5,5,25,At Risk
114,12511.0,64,1,3084.02,3,1,5,31,Need Attention
115,12514.0,277,1,580.08,1,1,3,11,Inactive
116,12516.0,66,2,1336.56,3,2,4,32,Need Attention
117,12519.0,112,1,385.7,2,1,2,21,Need Attention
118,12523.0,10,12,2582.38,5,5,5,55,Most Valuable Customers
119,12524.0,24,9,6640.39,4,5,5,45,Loyal Customers
120,12525.0,134,3,973.73,2,3,3,23,Need Attention
121,12527.0,130,2,386.8,2,2,2,22,Need Attention
122,12529.0,164,1,316.48,2,1,2,21,Need Attention
123,12530.0,51,5,2096.98,3,4,4,34,Loyal Customers
124,12531.0,322,1,1807.98,1,1,4,11,Inactive
125,12533.0,263,2,1367.89,1,2,4,12,Inactive
126,12537.0,44,1,732.94,3,1,3,31,Need Attention
127,12538.0,14,1,276.5,5,1,2,51,New Customers
128,12539.0,86,3,5646.400000000001,2,3,5,23,Need Attention
129,12540.0,14,16,8854.25,5,5,5,55,Most Valuable Customers
130,12542.0,120,2,481.88,2,2,2,22,Need Attention
131,12543.0,84,1,980.25,2,1,3,21,Need Attention
132,12547.0,136,1,175.78,2,1,1,21,Need Attention
133,12549.0,211,6,1575.68,1,4,4,14,At Risk
134,12553.0,21,2,916.47,4,2,3,42,Potential Loyal Customers
135,12554.0,84,1,468.5,2,1,2,21,Need Attention
136,12555.0,318,1,129.23,1,1,1,11,Inactive
137,12557.0,7,4,6725.18,5,4,5,54,Most Valuable Customers
138,12562.0,21,2,1185.18,4,2,4,42,Potential Loyal Customers
139,12563.0,44,1,249.24,3,1,1,31,Need Attention
140,12567.0,3,7,4308.58,5,5,5,55,Most Valuable Customers
141,12568.0,280,1,70.0,1,1,1,11,Inactive
142,12570.0,318,1,77.52,1,1,1,11,Inactive
143,12573.0,17,4,556.87,4,4,3,44,Loyal Customers
144,12575.0,93,2,622.8199999999999,2,2,3,22,Need Attention
145,12576.0,28,3,826.89,4,3,3,43,Potential Loyal Customers
146,12577.0,17,5,995.9499999999999,4,4,4,44,Loyal Customers
147,12578.0,21,2,1847.94,4,2,4,42,Potential Loyal Customers
148,12580.0,212,1,637.2,1,1,3,11,Inactive
149,12582.0,58,2,1469.04,3,2,4,32,Need Attention
150,12583.0,9,13,7166.0599999999995,5,5,5,55,Most Valuable Customers
151,12586.0,10,3,1865.73,5,3,4,53,Potential Loyal Customers
152,12588.0,35,3,743.88,4,3,3,43,Potential Loyal Customers
153,12589.0,57,6,4048.98,3,4,5,34,Loyal Customers
154,12591.0,26,2,899.3,4,2,3,42,Potential Loyal Customers
155,12592.0,155,3,2145.06,2,3,4,23,Need Attention
156,12594.0,14,5,1751.89,5,4,4,54,Most Valuable Customers
157,12595.0,140,1,299.02,2,1,2,21,Need Attention
158,12598.0,99,3,1511.01,2,3,4,23,Need Attention
159,12599.0,17,6,1264.14,4,4,4,44,Loyal Customers
160,12600.0,7,12,2444.88,5,5,5,55,Most Valuable Customers
161,12601.0,40,1,104.19999999999999,3,1,1,31,Need Attention
162,12605.0,12,4,1232.95,5,4,4,54,Most Valuable Customers
163,12606.0,318,1,21.0,1,1,1,11,Inactive
164,12608.0,40,1,415.79,3,1,2,31,Need Attention
165,12609.0,10,6,2309.01,5,4,5,54,Most Valuable Customers
166,12613.0,24,5,3490.69,4,4,5,44,Loyal Customers
167,12615.0,49,4,3449.79,3,4,5,34,Loyal Customers
168,12616.0,24,1,417.8,4,1,2,41,Promising Customers
169,12619.0,196,1,140.14,1,1,1,11,Inactive
170,12621.0,1,16,11086.14,5,5,5,55,Most Valuable Customers
171,12623.0,52,6,3442.7400000000002,3,4,5,34,Loyal Customers
172,12625.0,145,2,2481.06,2,2,5,22,Need Attention
173,12629.0,21,2,1558.22,4,2,4,42,Potential Loyal Customers
174,12631.0,92,5,2841.07,2,4,5,24,At Risk
175,12632.0,156,2,804.88,2,2,3,22,Need Attention
176,12633.0,18,3,3514.18,4,3,5,43,Potential Loyal Customers
177,12634.0,171,2,490.0,2,2,2,22,Need Attention
178,12635.0,28,2,1241.23,4,2,4,42,Potential Loyal Customers
179,12636.0,374,1,141.0,1,1,1,11,Inactive
180,12637.0,14,4,2318.41,5,4,5,54,Most Valuable Customers
181,12638.0,275,1,249.8,1,1,1,11,Inactive
182,12639.0,70,2,826.27,3,2,3,32,Need Attention
183,12643.0,21,6,5005.78,4,4,5,44,Loyal Customers
184,12644.0,66,3,1440.58,3,3,4,33,Need Attention
185,12645.0,45,4,1764.12,3,4,4,34,Loyal Customers
186,12647.0,3,27,14201.53,5,5,5,55,Most Valuable Customers
187,12648.0,73,3,793.95,2,3,3,23,Need Attention
188,12649.0,18,5,1671.1399999999999,4,4,4,44,Loyal Customers
189,12651.0,14,3,263.75,5,3,2,53,Potential Loyal Customers
190,12652.0,70,1,97.05000000000001,3,1,1,31,Need Attention
191,12653.0,162,1,1950.98,2,1,4,21,Need Attention
192,12655.0,59,1,261.35,3,1,2,31,Need Attention
193,12656.0,61,3,2356.66,3,3,5,33,Need Attention
194,12661.0,72,1,162.0,2,1,1,21,Need Attention
195,12662.0,9,10,3138.2400000000002,5,5,5,55,Most Valuable Customers
196,12663.0,260,2,239.4,1,2,1,12,Inactive
197,12664.0,150,2,1188.16,2,2,4,22,Need Attention
198,12665.0,53,2,250.6,3,2,1,32,Need Attention
199,12666.0,30,1,1248.42,4,1,4,41,Promising Customers
200,12668.0,14,6,7637.53,5,4,5,54,Most Valuable Customers
201,12670.0,21,2,764.24,4,2,3,42,Potential Loyal Customers
202,12671.0,242,1,2622.481,1,1,5,11,Inactive
203,12672.0,231,1,211.15,1,1,1,11,Inactive
204,12673.0,37,1,619.5,3,1,3,31,Need Attention
205,12675.0,189,2,958.5,1,2,3,12,Inactive
206,12676.0,44,5,1511.7,3,4,4,34,Loyal Customers
207,12677.0,191,2,395.1,1,2,2,12,Inactive
208,12678.0,11,9,16652.72,5,5,5,55,Most Valuable Customers
209,12681.0,3,24,17080.74,5,5,5,55,Most Valuable Customers
210,12682.0,1,23,11745.69,5,5,5,55,Most Valuable Customers
211,12683.0,1,8,4220.21,5,5,5,55,Most Valuable Customers
212,12686.0,7,1,89.14,5,1,1,51,New Customers
213,12687.0,116,2,2138.91,2,2,4,22,Need Attention
214,12691.0,56,1,134.6,3,1,1,31,Need Attention
215,12692.0,273,1,110.95,1,1,1,11,Inactive
216,12693.0,32,3,847.11,4,3,3,43,Potential Loyal Customers
217,12694.0,57,1,973.68,3,1,3,31,Need Attention
218,12695.0,164,3,825.02,2,3,3,23,Need Attention
219,12696.0,70,2,851.91,3,2,3,32,Need Attention
220,12698.0,226,1,339.75,1,1,2,11,Inactive
221,12699.0,53,1,638.11,3,1,3,31,Need Attention
222,12701.0,165,4,1648.7,2,4,4,24,At Risk
223,12703.0,269,3,722.98,1,3,3,13,At Risk
224,12705.0,19,5,4893.81,4,4,5,44,Loyal Customers
225,12708.0,4,9,2601.19,5,5,5,55,Most Valuable Customers
226,12709.0,2,20,21356.82,5,5,5,55,Most Valuable Customers
227,12711.0,247,2,1339.05,1,2,4,12,Inactive
228,12712.0,1,10,2797.53,5,5,5,55,Most Valuable Customers
229,12714.0,24,7,9384.85,4,5,5,45,Loyal Customers
230,12717.0,226,1,277.93,1,1,2,11,Inactive
231,12720.0,5,6,2478.94,5,4,5,54,Most Valuable Customers
232,12721.0,21,2,1356.95,4,2,4,42,Potential Loyal Customers
233,12724.0,19,3,1286.11,4,3,4,43,Potential Loyal Customers
234,12725.0,7,4,2266.76,5,4,5,54,Most Valuable Customers
235,12726.0,23,4,1405.5,4,4,4,44,Loyal Customers
236,12727.0,78,3,1698.8300000000002,2,3,4,23,Need Attention
237,12728.0,19,1,233.84,4,1,1,41,Promising Customers
238,12730.0,157,1,829.25,2,1,3,21,Need Attention
239,12731.0,78,5,6879.8,2,4,5,24,At Risk
240,12733.0,25,3,2040.92,4,3,4,43,Potential Loyal Customers
241,12734.0,10,2,529.25,5,2,3,52,Potential Loyal Customers
242,12737.0,134,2,3710.5,2,2,5,22,Need Attention
243,12738.0,8,1,155.35,5,1,1,51,New Customers
244,12739.0,21,2,1713.69,4,2,4,42,Potential Loyal Customers
245,12741.0,165,2,406.07,2,2,2,22,Need Attention
246,12742.0,261,1,1201.52,1,1,4,11,Inactive
247,12744.0,95,4,4037.77,2,4,5,24,At Risk
248,12745.0,122,3,925.41,2,3,3,23,Need Attention
249,12746.0,176,1,254.55,2,1,2,21,Need Attention
250,12747.0,5,16,5080.53,5,5,5,55,Most Valuable Customers
251,12748.0,1,144,22879.66,5,5,5,55,Most Valuable Customers
252,12749.0,35,4,2806.48,4,4,5,44,Loyal Customers
253,12751.0,80,1,268.27,2,1,2,21,Need Attention
254,12755.0,1,10,5218.709999999999,5,5,5,55,Most Valuable Customers
255,12758.0,95,5,7111.650000000001,2,4,5,24,At Risk
256,12759.0,22,5,3489.3,4,4,5,44,Loyal Customers
257,12760.0,91,1,347.8,2,1,2,21,Need Attention
258,12761.0,93,2,782.95,2,2,3,22,Need Attention
259,12763.0,5,1,320.08,5,1,2,51,New Customers
260,12765.0,108,6,1404.58,2,4,4,24,At Risk
261,12766.0,2,3,3078.65,5,3,5,53,Potential Loyal Customers
262,12767.0,11,1,949.82,5,1,3,51,New Customers
263,12768.0,86,1,168.69000000000003,2,1,1,21,Need Attention
264,12770.0,92,1,1895.0,2,1,4,21,Need Attention
265,12771.0,121,1,282.3,2,1,2,21,Need Attention
266,12773.0,200,1,124.25,1,1,1,11,Inactive
267,12774.0,171,1,98.7,2,1,1,21,Need Attention
268,12775.0,24,2,300.08,4,2,2,42,Potential Loyal Customers
269,12776.0,303,1,55.5,1,1,1,11,Inactive
270,12777.0,93,1,519.45,2,1,3,21,Need Attention
271,12778.0,32,3,953.45,4,3,3,43,Potential Loyal Customers
272,12779.0,7,7,2740.91,5,5,5,55,Most Valuable Customers
273,12780.0,234,1,337.4,1,1,2,11,Inactive
274,12782.0,10,6,2287.32,5,4,5,54,Most Valuable Customers
275,12784.0,165,1,1230.33,2,1,4,21,Need Attention
276,12785.0,171,2,788.45,2,2,3,22,Need Attention
277,12786.0,245,1,728.5,1,1,3,11,Inactive
278,12787.0,49,1,398.52,3,1,2,31,Need Attention
279,12788.0,99,4,444.9,2,4,2,24,At Risk
280,12789.0,148,2,181.5,2,2,1,22,Need Attention
281,12790.0,46,1,266.93,3,1,2,31,Need Attention
282,12791.0,9,6,863.51,5,4,3,54,Most Valuable Customers
283,12792.0,170,1,426.47,2,1,2,21,Need Attention
284,12793.0,7,2,471.85,5,2,2,52,Potential Loyal Customers
285,12796.0,264,1,381.0,1,1,2,11,Inactive
286,12797.0,1,2,552.08,5,2,3,52,Potential Loyal Customers
287,12798.0,57,1,1533.8899999999999,3,1,4,31,Need Attention
288,12799.0,165,1,219.35,2,1,1,21,Need Attention
289,12800.0,106,3,584.25,2,3,3,23,Need Attention
290,12801.0,136,1,1071.82,2,1,4,21,Need Attention
291,12802.0,78,6,1988.84,2,4,4,24,At Risk
292,12803.0,29,1,1092.81,4,1,4,41,Promising Customers
293,12804.0,101,2,327.02,2,2,2,22,Need Attention
294,12805.0,17,4,1434.95,4,4,4,44,Loyal Customers
295,12806.0,71,4,2878.96,3,4,5,34,Loyal Customers
296,12807.0,19,1,330.35,4,1,2,41,Promising Customers
297,12808.0,4,3,422.45,5,3,2,53,Potential Loyal Customers
298,12809.0,201,2,1266.63,1,2,4,12,Inactive
299,12810.0,170,2,534.99,2,2,3,22,Need Attention
300,12811.0,14,2,519.05,5,2,3,52,Potential Loyal Customers
301,12813.0,137,3,1687.8,2,3,4,23,Need Attention
302,12817.0,35,2,524.94,4,2,3,42,Potential Loyal Customers
303,12819.0,94,1,540.52,2,1,3,21,Need Attention
304,12820.0,33,7,1747.18,4,5,4,45,Loyal Customers
305,12821.0,247,1,128.07999999999998,1,1,1,11,Inactive
306,12823.0,30,13,4742.0,4,5,5,45,Loyal Customers
307,12825.0,157,2,518.63,2,2,3,22,Need Attention
308,12826.0,1,6,1481.03,5,4,4,54,Most Valuable Customers
309,12829.0,186,1,92.30000000000001,1,1,1,11,Inactive
310,12831.0,99,2,236.06,2,2,1,22,Need Attention
311,12835.0,63,41,6043.31,3,5,5,35,Loyal Customers
312,12836.0,25,11,3972.76,4,5,5,45,Loyal Customers
313,12837.0,205,1,554.31,1,1,3,11,Inactive
314,12838.0,9,9,2715.35,5,5,5,55,Most Valuable Customers
315,12839.0,3,13,4480.31,5,5,5,55,Most Valuable Customers
316,12840.0,73,3,1315.2,2,3,4,23,Need Attention
317,12841.0,5,17,3518.33,5,5,5,55,Most Valuable Customers
318,12842.0,40,2,799.0,3,2,3,32,Need Attention
319,12843.0,18,22,4886.15,4,5,5,45,Loyal Customers
320,12844.0,78,2,322.64,2,2,2,22,Need Attention
321,12846.0,318,1,15.58,1,1,1,11,Inactive
322,12847.0,23,1,765.36,4,1,3,41,Promising Customers
323,12848.0,311,1,208.0,1,1,1,11,Inactive
324,12849.0,17,4,2039.67,4,4,4,44,Loyal Customers
325,12850.0,81,1,330.0,2,1,2,21,Need Attention
326,12851.0,113,1,148.95,2,1,1,21,Need Attention
327,12853.0,63,5,1950.4,3,4,4,34,Loyal Customers
328,12854.0,197,4,1669.52,1,4,4,14,At Risk
329,12855.0,8,4,612.84,5,4,3,54,Most Valuable Customers
330,12857.0,72,4,2581.6,2,4,5,24,At Risk
331,12858.0,19,1,177.92,4,1,1,41,Promising Customers
332,12859.0,94,1,575.1,2,1,3,21,Need Attention
333,12860.0,329,1,55.47,1,1,1,11,Inactive
334,12861.0,255,1,68.25,1,1,1,11,Inactive
335,12862.0,61,2,1008.3199999999999,3,2,4,32,Need Attention
336,12863.0,15,5,2271.35,5,4,5,54,Most Valuable Customers
337,12864.0,144,1,152.45,2,1,1,21,Need Attention
338,12865.0,14,2,1755.24,5,2,4,52,Potential Loyal Customers
339,12866.0,110,2,668.23,2,2,3,22,Need Attention
340,12867.0,33,6,3876.47,4,4,5,44,Loyal Customers
341,12868.0,9,3,640.0,5,3,3,53,Potential Loyal Customers
342,12869.0,317,1,337.66999999999996,1,1,2,11,Inactive
343,12870.0,11,3,1676.95,5,3,4,53,Potential Loyal Customers
344,12871.0,75,1,363.38,2,1,2,21,Need Attention
345,12872.0,1,11,3085.52,5,5,5,55,Most Valuable Customers
346,12873.0,33,2,1653.3,4,2,4,42,Potential Loyal Customers
347,12874.0,21,2,948.42,4,2,3,42,Potential Loyal Customers
348,12875.0,107,3,1013.76,2,3,4,23,Need Attention
349,12876.0,30,2,1863.77,4,2,4,42,Potential Loyal Customers
350,12877.0,37,8,1419.4,3,5,4,35,Loyal Customers
351,12880.0,17,2,640.13,4,2,3,42,Potential Loyal Customers
352,12887.0,19,1,222.4,4,1,1,41,Promising Customers
353,12889.0,17,4,385.46000000000004,4,4,2,44,Loyal Customers
354,12890.0,23,1,336.8,4,1,2,41,Promising Customers
355,12891.0,94,8,509.5,2,5,3,25,At Risk
356,12892.0,32,1,263.38,4,1,2,41,Promising Customers
357,12894.0,211,1,157.35,1,1,1,11,Inactive
358,12897.0,17,2,297.75,4,2,2,42,Potential Loyal Customers
359,12898.0,99,2,310.96000000000004,2,2,2,22,Need Attention
360,12899.0,49,1,366.4,3,1,2,31,Need Attention
361,12900.0,58,1,340.33,3,1,2,31,Need Attention
362,12903.0,64,1,833.53,3,1,3,31,Need Attention
363,12905.0,212,2,1018.42,1,2,4,12,Inactive
364,12907.0,31,2,508.91,4,2,3,42,Potential Loyal Customers
365,12908.0,16,3,1026.0,4,3,4,43,Potential Loyal Customers
366,12909.0,60,3,924.52,3,3,3,33,Need Attention
367,12910.0,15,5,2721.48,5,4,5,54,Most Valuable Customers
368,12911.0,187,1,1680.47,1,1,4,11,Inactive
369,12913.0,4,9,4217.2300000000005,5,5,5,55,Most Valuable Customers
370,12914.0,36,1,223.98,4,1,1,41,Promising Customers
371,12915.0,8,3,811.1,5,3,3,53,Potential Loyal Customers
372,12916.0,78,3,1647.87,2,3,4,23,Need Attention
373,12917.0,36,5,3765.2,4,4,5,44,Loyal Customers
374,12918.0,262,1,10953.5,1,1,5,11,Inactive
375,12920.0,207,3,323.86,1,3,2,13,At Risk
376,12921.0,2,39,19333.95,5,5,5,55,Most Valuable Customers
377,12923.0,26,2,612.9,4,2,3,42,Potential Loyal Customers
378,12924.0,29,8,1535.7,4,5,4,45,Loyal Customers
379,12925.0,228,1,35.28,1,1,1,11,Inactive
380,12926.0,47,4,1548.46,3,4,4,34,Loyal Customers
381,12927.0,30,1,197.31,4,1,1,41,Promising Customers
382,12928.0,14,7,2242.19,5,5,5,55,Most Valuable Customers
383,12931.0,16,42,50291.38,4,5,5,45,Loyal Customers
384,12932.0,175,8,1698.56,2,5,4,25,At Risk
385,12933.0,16,5,1079.5,4,4,4,44,Loyal Customers
386,12934.0,372,1,181.65,1,1,1,11,Inactive
387,12935.0,11,8,2083.16,5,5,4,55,Most Valuable Customers
388,12937.0,99,5,1593.34,2,4,4,24,At Risk
389,12939.0,15,12,13683.0,5,5,5,55,Most Valuable Customers
390,12941.0,360,1,377.49,1,1,2,11,Inactive
391,12942.0,1,1,258.75,5,1,2,51,New Customers
392,12943.0,194,2,496.5,1,2,2,12,Inactive
393,12945.0,292,1,437.16,1,1,2,11,Inactive
394,12946.0,72,1,324.45,2,1,2,21,Need Attention
395,12947.0,9,1,304.04,5,1,2,51,New Customers
396,12948.0,366,2,252.48000000000002,1,2,2,12,Inactive
397,12949.0,18,14,11359.48,4,5,5,45,Loyal Customers
398,12951.0,22,9,2149.65,4,5,5,45,Loyal Customers
399,12953.0,158,1,498.96000000000004,2,1,2,21,Need Attention
400,12954.0,274,1,162.45,1,1,1,11,Inactive
401,12956.0,320,3,413.82,1,3,2,13,At Risk
402,12957.0,177,5,4689.43,1,4,5,14,At Risk
403,12958.0,36,2,539.49,4,2,3,42,Potential Loyal Customers
404,12959.0,120,1,150.95,2,1,1,21,Need Attention
405,12960.0,49,4,1322.07,3,4,4,34,Loyal Customers
406,12961.0,15,1,211.99,5,1,1,51,New Customers
407,12963.0,1,5,1744.96,5,4,4,54,Most Valuable Customers
408,12964.0,73,1,132.24,2,1,1,21,Need Attention
409,12967.0,7,2,2646.02,5,2,5,52,Potential Loyal Customers
410,12969.0,238,1,122.45,1,1,1,11,Inactive
411,12970.0,16,6,1072.73,4,4,4,44,Loyal Customers
412,12971.0,2,33,4782.88,5,5,5,55,Most Valuable Customers
413,12972.0,49,4,1161.2,3,4,4,34,Loyal Customers
414,12973.0,49,1,385.55,3,1,2,31,Need Attention
415,12974.0,201,1,264.15,1,1,2,11,Inactive
416,12975.0,72,6,2100.09,2,4,4,24,At Risk
417,12976.0,14,7,2417.7799999999997,5,5,5,55,Most Valuable Customers
418,12977.0,137,3,478.39,2,3,2,23,Need Attention
419,12978.0,21,5,2502.82,4,4,5,44,Loyal Customers
420,12979.0,365,1,517.7,1,1,3,11,Inactive
421,12980.0,22,12,8870.880000000001,4,5,5,45,Loyal Customers
422,12982.0,30,7,2354.27,4,5,5,45,Loyal Customers
423,12983.0,234,1,490.08000000000004,1,1,2,11,Inactive
424,12986.0,64,10,2729.84,3,5,5,35,Loyal Customers
425,12987.0,56,3,753.51,3,3,3,33,Need Attention
426,12989.0,60,18,6627.64,3,5,5,35,Loyal Customers
427,12990.0,53,4,546.0,3,4,3,34,Loyal Customers
428,12991.0,25,1,261.06,4,1,2,41,Promising Customers
429,12992.0,361,1,93.35000000000001,1,1,1,11,Inactive
430,12993.0,81,4,844.87,2,4,3,24,At Risk
431,12996.0,11,1,355.5,5,1,2,51,New Customers
432,12997.0,30,4,884.02,4,4,3,44,Loyal Customers
433,12998.0,128,3,920.08,2,3,3,23,Need Attention
434,13000.0,361,1,497.65000000000003,1,1,2,11,Inactive
435,13001.0,40,20,14353.28,3,5,5,35,Loyal Customers
436,13002.0,52,2,293.18,3,2,2,32,Need Attention
437,13004.0,22,18,5994.94,4,5,5,45,Loyal Customers
438,13005.0,67,2,485.98,3,2,2,32,Need Attention
439,13007.0,215,1,175.25,1,1,1,11,Inactive
440,13008.0,33,2,382.66,4,2,2,42,Potential Loyal Customers
441,13009.0,308,1,234.0,1,1,1,11,Inactive
442,13010.0,10,2,330.12,5,2,2,52,Potential Loyal Customers
443,13011.0,8,1,50.550000000000004,5,1,1,51,New Customers
444,13012.0,65,3,1310.99,3,3,4,33,Need Attention
445,13013.0,7,18,7814.83,5,5,5,55,Most Valuable Customers
446,13014.0,68,1,1914.8,3,1,4,31,Need Attention
